File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\ByteArrayBinding_ESTest1.java,137,94,71,0,19,0,24,60,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\ByteArrayBinding_ESTest_scaffolding1.java,63,41,30,0,12,0,10,45,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\EntityBinding_ESTest1.java,114,74,57,0,16,0,24,60,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\EntityBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\EntryBinding_ESTest1.java,165,111,84,0,22,0,32,78,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\EntryBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\RecordNumberBinding_ESTest1.java,137,85,62,0,20,0,32,78,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\RecordNumberBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\serial\ClassCatalog_ESTest1.java,20,11,7,0,4,0,5,22,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\serial\ClassCatalog_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\serial\SerialBase_ESTest1.java,77,57,42,0,12,0,8,25,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\serial\SerialBase_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
