Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,3768,416691,284564,208990,4406,69749,0,62378,213953,15939,76757
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1,3768,416691,284564,208990,4406,69749,0,62378,213953,15939,76757
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1,496,57676,40851,30101,0,8706,0,8119,23595,2232,10664
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com,496,57676,40851,30101,0,8706,0,8119,23595,2232,10664
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat,496,57676,40851,30101,0,8706,0,8119,23595,2232,10664
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind,74,7887,5500,4070,0,1167,0,1220,3385,333,1591
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\serial,24,1544,1066,787,0,257,0,221,753,108,516
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple,42,5562,3909,2892,0,791,0,862,2230,189,903
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\compat,2,815,567,400,0,111,0,137,335,9,43
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je,406,46836,33252,24520,0,7108,0,6476,19165,1827,8729
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\cleaner,20,2720,2067,1538,0,413,0,240,799,90,430
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\config,12,1078,773,575,0,179,0,126,534,54,258
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\dbi,36,4018,2825,2042,0,648,0,545,1688,162,774
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\log,78,7711,5431,3999,0,1258,0,1022,3310,351,1677
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\log\entry,16,2861,2109,1640,0,373,0,379,1140,72,344
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\recovery,16,1817,1331,968,0,293,0,193,692,72,344
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\tree,68,12833,9443,7065,0,1748,0,1642,4799,306,1462
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\txn,48,4409,3170,2300,0,753,0,486,1736,216,1032
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\util,12,2779,1472,1121,0,265,0,1042,1555,54,258
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\je\utilint,34,2282,1561,1123,0,420,0,301,1031,153,731
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\util,14,2138,1532,1111,0,320,0,286,710,63,301
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2,498,49337,34246,25010,0,8013,0,7078,21273,2254,10850
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com,498,49337,34246,25010,0,8013,0,7078,21273,2254,10850
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat,498,49337,34246,25010,0,8013,0,7078,21273,2254,10850
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\bind,74,7673,5222,3843,0,1216,0,1235,3416,333,1591
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\bind\serial,24,1474,973,712,0,273,0,228,765,108,516
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\bind\tuple,42,5473,3775,2781,0,823,0,875,2267,189,903
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\compat,2,800,551,386,0,111,0,138,334,9,43
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je,408,38463,26764,19536,0,6337,0,5362,16738,1849,8915
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\cleaner,20,2511,1876,1375,0,396,0,239,806,90,430
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\config,12,1048,748,552,0,177,0,123,488,54,258
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\dbi,33,2882,1980,1436,0,500,0,402,1324,149,715
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\evictor,1,46,30,21,0,11,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\latch,10,460,300,210,0,110,0,50,270,50,270
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\log,77,7208,5040,3699,0,1199,0,969,3153,349,1683
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\log\entry,16,2680,1952,1503,0,361,0,367,1059,72,344
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\recovery,13,1286,932,661,0,229,0,125,477,60,296
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\tree,64,7671,5524,4050,0,1183,0,964,3259,290,1398
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\txn,49,4131,2933,2128,0,728,0,470,1722,221,1059
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\util,13,2677,1423,1073,0,270,0,984,1479,59,285
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\utilint,34,2262,1536,1105,0,418,0,308,1049,153,731
